[2024-02-23 21:21:09] Recieved info from Drone!  7
[2024-02-23 21:21:09] Wrote data to window! 3





[2024-02-23 21:21:09] Recieved info from Drone!  7
[2024-02-23 21:21:09] Wrote data to window! 3

[2024-02-23 21:21:09] Recieved info from Drone!  7
[2024-02-23 21:21:09] Wrote data to window! 3

[2024-02-23 21:21:09] Recieved info from Drone!  7
[2024-02-23 21:21:09] Wrote data to window! 3

[2024-02-23 21:21:09] Recieved info from Drone!  7
[2024-02-23 21:21:09] Wrote data to window! 3

[2024-02-23 21:21:09] Recieved info from Drone!  7
[2024-02-23 21:21:09] Wrote data to window! 3


[2024-02-23 21:21:09] Recieved info from Drone!  7
[2024-02-23 21:21:09] Wrote data to window! 3







[2024-02-23 21:21:10] Recieved info from Drone!  7
[2024-02-23 21:21:10] Wrote data to window! 3



[2024-02-23 21:21:10] Recieved info from Drone!  7
[2024-02-23 21:21:10] Wrote data to window! 3



[2024-02-23 21:21:10] Recieved info from Drone!  7
[2024-02-23 21:21:10] Wrote data to window! 3

[2024-02-23 21:21:10] Recieved info from Drone!  7
[2024-02-23 21:21:10] Wrote data to window! 3





[2024-02-23 21:21:10] Recieved info from Drone!  7
[2024-02-23 21:21:10] Wrote data to window! 3



[2024-02-23 21:21:10] Recieved info from Drone!  7
[2024-02-23 21:21:10] Wrote data to window! 3


[2024-02-23 21:21:10] Recieved info from Drone!  7
[2024-02-23 21:21:10] Wrote data to window! 3

[2024-02-23 21:21:10] Recieved info from Drone!  7
[2024-02-23 21:21:10] Wrote data to window! 3








[2024-02-23 21:21:10] Recieved info from Drone!  7
[2024-02-23 21:21:10] Wrote data to window! 3




[2024-02-23 21:21:11] Recieved info from Drone!  7
[2024-02-23 21:21:11] Wrote data to window! 3



[2024-02-23 21:21:11] Recieved info from Drone!  7
[2024-02-23 21:21:11] Wrote data to window! 3


[2024-02-23 21:21:11] Recieved info from Drone!  7
[2024-02-23 21:21:11] Wrote data to window! 3

[2024-02-23 21:21:11] Recieved info from Drone!  7
[2024-02-23 21:21:11] Wrote data to window! 3



[2024-02-23 21:21:11] Recieved info from Drone!  7
[2024-02-23 21:21:11] Wrote data to window! 3






[2024-02-23 21:21:11] Recieved info from Drone!  7
[2024-02-23 21:21:11] Wrote data to window! 3

[2024-02-23 21:21:11] Recieved info from Drone!  7
[2024-02-23 21:21:11] Wrote data to window! 3



[2024-02-23 21:21:11] Recieved info from Drone!  7
[2024-02-23 21:21:11] Wrote data to window! 3


[2024-02-23 21:21:11] Recieved info from Drone!  7
[2024-02-23 21:21:11] Wrote data to window! 3






[2024-02-23 21:21:11] Recieved info from Drone!  7
[2024-02-23 21:21:11] Wrote data to window! 3

[2024-02-23 21:21:12] Recieved info from Drone!  7
[2024-02-23 21:21:12] Wrote data to window! 3











[2024-02-23 21:21:12] Recieved info from Drone!  7
[2024-02-23 21:21:12] Wrote data to window! 3





[2024-02-23 21:21:12] Recieved info from Drone!  7
[2024-02-23 21:21:12] Wrote data to window! 3



[2024-02-23 21:21:12] Recieved info from Drone!  7
[2024-02-23 21:21:12] Wrote data to window! 3






[2024-02-23 21:21:12] Recieved info from Drone!  7
[2024-02-23 21:21:12] Wrote data to window! 3


[2024-02-23 21:21:12] Recieved info from Drone!  7
[2024-02-23 21:21:12] Wrote data to window! 3

[2024-02-23 21:21:12] Recieved info from Drone!  7
[2024-02-23 21:21:12] Wrote data to window! 3

[2024-02-23 21:21:12] Recieved info from Drone!  7
[2024-02-23 21:21:12] Wrote data to window! 3

[2024-02-23 21:21:12] Recieved info from Drone!  7
[2024-02-23 21:21:12] Wrote data to window! 3

[2024-02-23 21:21:12] Recieved info from Drone!  7
[2024-02-23 21:21:12] Wrote data to window! 3

[2024-02-23 21:21:13] Recieved info from Drone!  7
[2024-02-23 21:21:13] Wrote data to window! 3

[2024-02-23 21:21:13] Recieved info from Drone!  7
